noise_std_m,split,method,n,mae,rmse,bias,med_ae,p90_ae,pearson,spearman,mae_30m,mae_40m,rr_mean,rr_med
0.25,val_cph,A_coarse,3369,5.56596507348941,6.6291528778552715,-4.676066968662511,5.1284379959106445,10.01800537109375,0.8515735208602535,0.8250587053898352,11.861931615405613,17.269662528202453,0.0,0.0
0.25,val_cph,D_sparse_mono,3369,6.245845662135919,8.29227764125055,-3.190064049619617,5.208408355712891,12.364009475708011,0.5221457623001737,0.5094243688238131,21.55213208331002,33.38462456341448,-1.3451207610669167,-0.8404638834191186
0.25,val_cph,E_sparse_coarse,3369,5.6699668377214465,6.995204697335966,-4.111530636199102,5.144085884094238,10.291313934326176,0.7751196056206877,0.7473230108911335,16.957061025831436,25.54689071918356,-0.6936787413783118,-0.42205351798163365
0.25,val_cph,F4_depth_affine,3369,6.245845662135919,8.29227764125055,-3.190064049619617,5.208408355712891,12.364009475708011,0.5221457623001737,0.5094243688238131,21.55213208331002,33.38462456341448,-1.3451207610669167,-0.8404638834191186
0.25,test_ny,A_coarse,728,15.310683113348844,17.229816992821878,-14.076872021144071,16.376408576965332,24.311287879943848,0.8525406513603908,0.7861556473552086,19.39782981313005,20.781251880484568,0.0,0.0
0.25,test_ny,D_sparse_mono,728,11.668675564483268,15.341821808227795,-8.246639555103144,9.371295928955078,24.034556674957276,0.6657528809177815,0.561503753557894,13.722385744811321,20.906779764928448,0.006615207378290621,0.06590600521897161
0.25,test_ny,E_sparse_coarse,728,12.966688699563846,15.254152488153885,-11.411369899158851,12.453518867492676,22.81222496032715,0.8325093782441056,0.7046603651605313,16.142690077606513,20.866266572979136,-0.02113955380609742,0.02619087364079404
0.25,test_ny,F4_depth_affine,728,11.668675564483268,15.341821808227795,-8.246639555103144,9.371295928955078,24.034556674957276,0.6657528809177815,0.561503753557894,13.722385744811321,20.906779764928448,0.006615207378290621,0.06590600521897161
0.5,val_cph,A_coarse,3369,5.56596507348941,6.6291528778552715,-4.676066968662511,5.1284379959106445,10.01800537109375,0.8515735208602535,0.8250587053898352,11.861931615405613,17.269662528202453,0.0,0.0
0.5,val_cph,D_sparse_mono,3369,6.245888966489367,8.283876252447346,-3.17978941779168,5.208580017089844,12.359605741500857,0.5219141717660617,0.5095934824844295,21.552758521503872,33.38750123977661,-1.3455664616869254,-0.841202395515249
0.5,val_cph,E_sparse_coarse,3369,5.670902362029317,6.992619668498818,-4.1065426503353075,5.146823883056641,10.286168670654298,0.775380610487536,0.7476120532584539,16.95730103386773,25.548275980456122,-0.6938928542824085,-0.4224390985112321
0.5,val_cph,F4_depth_affine,3369,6.245888966489367,8.283876252447346,-3.17978941779168,5.208580017089844,12.359605741500857,0.5219141717660617,0.5095934824844295,21.552758521503872,33.38750123977661,-1.3455664616869254,-0.841202395515249
0.5,test_ny,A_coarse,728,15.310683113348844,17.229816992821878,-14.076872021144071,16.376408576965332,24.311287879943848,0.8525406513603908,0.7861556473552086,19.39782981313005,20.781251880484568,0.0,0.0
0.5,test_ny,D_sparse_mono,728,11.67135227557766,15.331334183227835,-8.225609592460946,9.375406265258789,24.028866291046143,0.6653222176751391,0.5616737715115036,13.720528536487599,20.90367953899041,0.006716533323867354,0.06604315383611609
0.5,test_ny,E_sparse_coarse,728,12.96903021595862,15.251394970591342,-11.401265589828403,12.450714111328125,22.81266593933106,0.8324432207306303,0.7047976873538313,16.14233461302154,20.864766100762594,-0.021088016337824218,0.026209602670333926
0.5,test_ny,F4_depth_affine,728,11.67135227557766,15.331334183227835,-8.225609592460946,9.375406265258789,24.028866291046143,0.6653222176751391,0.5616737715115036,13.720528536487599,20.90367953899041,0.006716533323867354,0.06604315383611609
1.0,val_cph,A_coarse,3369,5.56596507348941,6.6291528778552715,-4.676066968662511,5.1284379959106445,10.01800537109375,0.8515735208602535,0.8250587053898352,11.861931615405613,17.269662528202453,0.0,0.0
1.0,val_cph,D_sparse_mono,3369,6.246271096984459,8.268506577772998,-3.166565211344822,5.203296661376953,12.35592384338379,0.5218064274944132,0.5100755762510807,21.55416574080785,33.392832558730554,-1.3465434179156184,-0.8441542093699793
1.0,val_cph,E_sparse_coarse,3369,5.673849994798927,6.988638375033151,-4.100031109894849,5.13707160949707,10.285478973388672,0.7759895957200312,0.7484436009644898,16.957824362648857,25.550875433560076,-0.6943700639841159,-0.42396118572095737
1.0,val_cph,F4_depth_affine,3369,6.246271096984459,8.268506577772998,-3.166565211344822,5.203296661376953,12.35592384338379,0.5218064274944132,0.5100755762510807,21.55416574080785,33.392832558730554,-1.3465434179156184,-0.8441542093699793
1.0,test_ny,A_coarse,728,15.310683113348844,17.229816992821878,-14.076872021144071,16.376408576965332,24.311287879943848,0.8525406513603908,0.7861556473552086,19.39782981313005,20.781251880484568,0.0,0.0
1.0,test_ny,D_sparse_mono,728,11.677339994729174,15.310517547333104,-8.186504934496723,9.374586582183838,24.017094230651857,0.6645877574865013,0.5620673973268111,13.717568641171164,20.896072133745946,0.006938670796326555,0.06669709980775734
1.0,test_ny,E_sparse_coarse,728,12.973757080008099,15.246124008348346,-11.382223180874831,12.437142372131348,22.81034927368164,0.8323580302326946,0.7050630835110868,16.142678806733112,20.861381591205866,-0.020974309648625428,0.026192880198074867
1.0,test_ny,F4_depth_affine,728,11.677339994729174,15.310517547333104,-8.186504934496723,9.374586582183838,24.017094230651857,0.6645877574865013,0.5620673973268111,13.717568641171164,20.896072133745946,0.006938670796326555,0.06669709980775734
