strategy,sparsity_pct,split,method,n_buildings,mae,rmse,bias,med_ae,p90_ae,pearson,spearman,mae_30m,mae_40m,rr_mean,rr_med
building_aware,0.05,val_cph,F4_depth_affine,3369,6.254719093498653,8.369424190741286,-3.0792090627779434,4.997715950012207,12.694162654876713,0.5052324108284562,0.5016755225816966,22.20760421620475,34.76754390782323,-1.468253357056421,-0.9743398114938694
building_aware,0.05,val_cph,D_sparse_mono,3369,6.254719093498653,8.369424190741286,-3.0792090627779434,4.997715950012207,12.694162654876713,0.5052324108284562,0.5016755225816966,22.20760421620475,34.76754390782323,-1.468253357056421,-0.9743398114938694
building_aware,0.05,val_cph,E_sparse_coarse,3369,5.641742463985251,6.998597225137577,-4.05727488172544,5.067470550537109,10.316021728515626,0.7706233002582998,0.7443993693377355,17.27413766913944,26.21360831425108,-0.75286812968016,-0.49268037367586953
building_aware,0.1,val_cph,A_coarse,3369,5.56596507348941,6.6291528778552715,-4.676066968662511,5.1284379959106445,10.01800537109375,0.8515735208602535,0.8250587053898352,11.861931615405613,17.269662528202453,0.0,0.0
building_aware,0.1,val_cph,B_monocular,3369,8.062834120473706,11.311431424886731,3.310434826771756,5.677421569824219,18.091733932495135,0.31590053756537395,0.27564204912929,13.223391201761034,13.552886107872272,0.8421029743268215,0.9191415409914668
building_aware,0.1,val_cph,F1_nn,3369,1.9670372882577472,5.703608724685008,-1.3795537959432016,0.0182037353515625,8.025003242492678,0.8185623732673217,0.8505690630972508,3.0319216781192355,7.098399918654869,0.7210563596465105,0.9992790771946374
building_aware,0.1,val_cph,F2_linear,3369,2.168066306371953,5.555827338496178,-1.0929239951627174,0.3356494903564453,7.678743374347687,0.8237472692365426,0.8532127224236328,3.320552044444614,7.318005364516686,0.7223682694572054,0.9992371220272941
building_aware,0.1,val_cph,F4_depth_affine,3369,6.181965863839797,8.326834519684018,-3.1219641046135314,4.985528945922852,12.490648174285889,0.5193854700356686,0.5115351876599155,21.5874328745736,33.52282596456593,-1.3483806752418843,-0.871708232546501
building_aware,0.1,val_cph,D_sparse_mono,3369,6.181965863839797,8.326834519684018,-3.1219641046135314,4.985528945922852,12.490648174285889,0.5193854700356686,0.5115351876599155,21.5874328745736,33.52282596456593,-1.3483806752418843,-0.871708232546501
building_aware,0.1,val_cph,E_sparse_coarse,3369,5.614372441481317,6.9737824859673525,-4.075332503468393,5.031619071960449,10.273566818237308,0.7735915358457278,0.7463308433835705,16.973222096761067,25.6079667847732,-0.6949523141429289,-0.44275648511135207
