split,tile_id,category,model,iou,dice,boundary_f1,area_err_pct,cent_err_px,w_err_px,h_err_px
Copenhagen_Val,SV_Copenhagen_55.6909_12.5822.tif,mediumrise,Baseline_A,0.36367437109532746,0.5333742113276174,0.21580239483664845,23424.2570695964,201.5899011117971,400.44,419.48
Copenhagen_Val,SV_Copenhagen_55.6909_12.5822.tif,mediumrise,Augmented_D,0.36593731107287353,0.5358039612893342,0.0034521407756108497,51484.53380056821,214.91812416359105,422.03846153846155,441.53846153846155
Copenhagen_Val,SV_Copenhagen_55.6762_12.5612.tif,highrise,Baseline_A,0.3791075884214406,0.5497868209910673,0.12064618937968184,14636.66119264381,225.02736192598556,423.42857142857144,406.64285714285717
Copenhagen_Val,SV_Copenhagen_55.6762_12.5612.tif,highrise,Augmented_D,0.3819328567273395,0.5527516838000709,0.03406816160883985,16975.262341993446,224.7651317274337,423.42857142857144,406.64285714285717
Copenhagen_Val,SV_Copenhagen_55.6769_12.5294.tif,mediumrise,Baseline_A,0.20880010445227837,0.34546672139292733,0.14615328616932813,611007.5758500794,236.19439294443498,455.2,431.8
Copenhagen_Val,SV_Copenhagen_55.6769_12.5294.tif,mediumrise,Augmented_D,0.22168601050438755,0.3629181452488956,0.015886287625418057,683598.6144439423,232.63439716221438,455.2,431.8
Copenhagen_Val,SV_Copenhagen_55.6758_12.5454.tif,mediumrise,Baseline_A,0.49044259844283616,0.6581167217781267,0.1905496341533882,207216.7859118054,218.71487668693877,425.92105263157896,417.36842105263156
Copenhagen_Val,SV_Copenhagen_55.6758_12.5454.tif,mediumrise,Augmented_D,0.47863443463457916,0.6474006332104203,0.04991142009873852,395706.26347844134,235.330947356401,455.1219512195122,447.5853658536585
Copenhagen_Val,SV_Copenhagen_55.6799_12.5410.tif,mediumrise,Baseline_A,0.3669295441089402,0.536866798570998,0.17291667709865097,499233.96269666916,210.31976509309388,459.52777777777777,452.9166666666667
Copenhagen_Val,SV_Copenhagen_55.6799_12.5410.tif,mediumrise,Augmented_D,0.3557125443687184,0.5247610134556281,0.0029162634711488752,878641.7407132252,212.54898517884993,464.0,458.275
Copenhagen_Val,SV_Copenhagen_55.6784_12.5511.tif,highrise,Baseline_A,0.3908096585336083,0.5619887036816469,0.1446778359655625,66951.08981673562,226.2265325439794,445.6551724137931,434.0
Copenhagen_Val,SV_Copenhagen_55.6784_12.5511.tif,highrise,Augmented_D,0.38819723713888954,0.5592825381773185,0.05031866248819881,77376.66215086753,219.82035952956892,447.3333333333333,436.0
Copenhagen_Val,SV_Copenhagen_55.6881_12.5848.tif,mediumrise,Baseline_A,0.5611530149401625,0.7188955977664636,0.23632877925627044,463269.0541227935,217.00611117002708,421.62857142857143,418.62857142857143
Copenhagen_Val,SV_Copenhagen_55.6881_12.5848.tif,mediumrise,Augmented_D,0.5769286711087525,0.7317118163665689,0.047700334078138305,970614.2563343123,222.38312658265147,437.43589743589746,437.94871794871796
Copenhagen_Val,SV_Copenhagen_55.6923_12.5821.tif,mediumrise,Baseline_A,0.10563917525773196,0.1910915923056123,0.03017030091238279,25148.60746374324,184.0114762635643,427.8888888888889,399.8888888888889
Copenhagen_Val,SV_Copenhagen_55.6923_12.5821.tif,mediumrise,Augmented_D,0.08385072817522074,0.1547274472313959,0.021076512129971824,38564.207831998865,255.29892096650917,448.77777777777777,443.44444444444446
Copenhagen_Val,SV_Copenhagen_55.6957_12.5880.tif,mediumrise,Baseline_A,0.20618472384660053,0.34187918279890694,0.181006066912978,70067.37778266714,243.5980001089717,437.06666666666666,432.93333333333334
Copenhagen_Val,SV_Copenhagen_55.6957_12.5880.tif,mediumrise,Augmented_D,0.2209218287366237,0.3618934866046707,0.09017725231282768,75789.26274126321,241.48025676029468,437.06666666666666,432.93333333333334
Copenhagen_Val,SV_Copenhagen_55.6805_12.5853.tif,highrise,Baseline_A,0.5517771364864679,0.7111551311237915,0.1474578566842637,27502.62642557193,182.06982822768913,320.0,269.875
Copenhagen_Val,SV_Copenhagen_55.6805_12.5853.tif,highrise,Augmented_D,0.5534708181695647,0.7125603026411689,0.017578108203403824,34153.88433002771,237.91651690349056,396.8181818181818,348.27272727272725
Copenhagen_Val,SV_Copenhagen_55.6992_12.5523.tif,mediumrise,Baseline_A,0.41965470219798,0.5912067230830845,0.14389889689588486,21105.794027687138,239.79769486104007,402.53846153846155,376.9230769230769
Copenhagen_Val,SV_Copenhagen_55.6992_12.5523.tif,mediumrise,Augmented_D,0.4037979424308666,0.5752935379455475,0.0019734987313222443,133767.82539178088,244.79048567722788,419.75,399.125
Copenhagen_Val,SV_Copenhagen_55.6950_12.5526.tif,mediumrise,Baseline_A,0.4144810038849472,0.5860538285725339,0.11650114279998965,223229.87064097816,205.04738603857103,425.95,363.7
Copenhagen_Val,SV_Copenhagen_55.6950_12.5526.tif,mediumrise,Augmented_D,0.3705516082206433,0.5407335353124312,0.0,277927.0133711204,216.09592291847244,446.45,386.7
Copenhagen_Val,SV_Copenhagen_55.6746_12.5370.tif,highrise,Baseline_A,0.41322475708545064,0.5847969404918443,0.17501779176998886,978016.7503112028,222.22007214520116,462.0,435.7142857142857
Copenhagen_Val,SV_Copenhagen_55.6746_12.5370.tif,highrise,Augmented_D,0.4182060922031051,0.5897677276980879,0.0464171768899967,1156419.0850539778,227.16761182177447,464.3157894736842,441.39473684210526
Copenhagen_Val,SV_Copenhagen_55.6833_12.5826.tif,highrise,Baseline_A,0.5960015306848925,0.7468683697679541,0.20162263297972693,35018.77240508816,239.7690022437098,395.5,383.57142857142856
Copenhagen_Val,SV_Copenhagen_55.6833_12.5826.tif,highrise,Augmented_D,0.6254627474028899,0.7695811526929588,0.0008616047388260636,47616.76867985341,240.41436803883116,395.5,383.57142857142856
Copenhagen_Val,SV_Copenhagen_55.6770_12.5343.tif,mediumrise,Baseline_A,0.4007471794441805,0.5721905927423646,0.1576562099432345,1012906.346602586,224.07517249523409,451.8529411764706,448.05882352941177
Copenhagen_Val,SV_Copenhagen_55.6770_12.5343.tif,mediumrise,Augmented_D,0.37724569470182756,0.5478262827802862,0.003759840206791211,1682386.9003144181,228.22429810820037,462.5952380952381,459.2857142857143
Copenhagen_Val,SV_Copenhagen_55.6791_12.5829.tif,highrise,Baseline_A,0.5704233480357805,0.7264580582672081,0.14392085291553577,3693.2082565321493,204.09555656704066,380.9,329.3
Copenhagen_Val,SV_Copenhagen_55.6791_12.5829.tif,highrise,Augmented_D,0.5999946594238281,0.7499958276609391,0.0,19421.98505014084,221.67165626091298,398.0833333333333,356.75
Copenhagen_Val,SV_Copenhagen_55.6857_12.5875.tif,skyscraper,Baseline_A,0.6640897692229489,0.7981417607453322,0.18269319896021058,13048.213184862474,222.58308087343084,351.8333333333333,339.1666666666667
Copenhagen_Val,SV_Copenhagen_55.6857_12.5875.tif,skyscraper,Augmented_D,0.6826120706384631,0.8113718932010842,0.0425023060494525,36361.14653552998,241.59043079460946,395.53846153846155,378.9230769230769
Copenhagen_Val,SV_Copenhagen_55.6805_12.5828.tif,highrise,Baseline_A,0.5794557489580779,0.73374103622761,0.17007450950831138,4719.044202471824,228.6957777191397,368.77777777777777,329.8888888888889
Copenhagen_Val,SV_Copenhagen_55.6805_12.5828.tif,highrise,Augmented_D,0.6176910400390625,0.7636699774564457,0.0,5523.863117414585,227.40099825662477,368.77777777777777,329.8888888888889
Copenhagen_Val,SV_Copenhagen_55.6868_12.5886.tif,skyscraper,Baseline_A,0.594975122148012,0.7460619465295948,0.19600099518624184,19843.45630453005,247.19622632658982,405.52941176470586,398.1764705882353
Copenhagen_Val,SV_Copenhagen_55.6868_12.5886.tif,skyscraper,Augmented_D,0.6248002299511354,0.7690794455019566,0.008337965536409116,149954.10299848075,243.7700835849197,413.4736842105263,408.2105263157895
Copenhagen_Val,SV_Copenhagen_55.6951_12.5575.tif,highrise,Baseline_A,0.41551672277321555,0.5870883983046901,0.15068074295212838,167514.86304818027,197.16540004192512,461.2647058823529,438.3529411764706
Copenhagen_Val,SV_Copenhagen_55.6951_12.5575.tif,highrise,Augmented_D,0.4183709315290272,0.5899316211705163,0.0,228925.50652300156,199.22149452659718,462.62857142857143,440.22857142857146
Copenhagen_Val,SV_Copenhagen_55.6777_12.5855.tif,highrise,Baseline_A,0.5472908548213249,0.707418198868013,0.07975551392627671,357611.0693812538,193.1826921324196,406.77777777777777,373.3333333333333
Copenhagen_Val,SV_Copenhagen_55.6777_12.5855.tif,highrise,Augmented_D,0.5186544400808327,0.6830447090428637,0.008938006340260655,406662.6350930868,196.73655547622957,406.77777777777777,373.3333333333333
Copenhagen_Val,SV_Copenhagen_55.6710_12.5566.tif,highrise,Baseline_A,0.557598336289057,0.7159719207424458,0.19099270188335968,1315791.7569144696,207.47486867132667,447.12820512820514,445.8205128205128
Copenhagen_Val,SV_Copenhagen_55.6710_12.5566.tif,highrise,Augmented_D,0.5569665485787181,0.7154508863239827,0.012324546388223211,2251914.8885129387,203.78678314950682,453.4888888888889,452.6222222222222
Copenhagen_Val,SV_Copenhagen_55.6799_12.5560.tif,highrise,Baseline_A,0.1428139575056141,0.2499338699316026,0.11480653717286628,29337.782683132053,282.13115068787084,474.57142857142856,410.14285714285717
Copenhagen_Val,SV_Copenhagen_55.6799_12.5560.tif,highrise,Augmented_D,0.1317462408230327,0.2328194007999951,0.008838536017034269,48543.60804503225,294.85020652341524,478.625,419.25
Copenhagen_Val,SV_Copenhagen_55.6792_12.5879.tif,mediumrise,Baseline_A,0.5834226685744787,0.7369133714622408,0.12716560632421797,203193.11839832456,225.10276160210685,383.3333333333333,358.8333333333333
Copenhagen_Val,SV_Copenhagen_55.6792_12.5879.tif,mediumrise,Augmented_D,0.5821627657038669,0.7359075542962565,0.04267057582957491,515123.9160337029,226.10106482236512,393.0769230769231,370.38461538461536
Copenhagen_Val,SV_Copenhagen_55.6771_12.5537.tif,mediumrise,Baseline_A,0.31345135943715685,0.47729420230906416,0.11422882576894375,185545.14198179665,162.37501181622483,287.3,455.0
Copenhagen_Val,SV_Copenhagen_55.6771_12.5537.tif,mediumrise,Augmented_D,0.2789245735607676,0.43618611969303067,0.0,236569.0131887129,164.09951427101328,289.3,455.0
Copenhagen_Val,SV_Copenhagen_55.6785_12.5536.tif,highrise,Baseline_A,0.3581246640070169,0.5273811359119337,0.14177337154498454,53194.42481219153,177.4013144240336,454.2307692307692,445.9230769230769
Copenhagen_Val,SV_Copenhagen_55.6785_12.5536.tif,highrise,Augmented_D,0.3404961618626404,0.5080151238769914,0.026217299310113736,60536.46659347701,178.33388989269906,454.2307692307692,445.9230769230769
Copenhagen_Val,SV_Copenhagen_55.6772_12.5586.tif,skyscraper,Baseline_A,0.43970864370757073,0.6108300392990945,0.13791984354335277,516482.867159621,211.91727539902544,439.25,404.0833333333333
Copenhagen_Val,SV_Copenhagen_55.6772_12.5586.tif,skyscraper,Augmented_D,0.4446113004200016,0.6155445416919233,0.04317958783120706,532084.7474085721,215.81333533676187,443.7692307692308,411.7692307692308
Copenhagen_Val,SV_Copenhagen_55.6895_12.5847.tif,mediumrise,Baseline_A,0.5668490492019904,0.7235528521278951,0.2048048553764983,605778.6044065965,218.57362996649974,404.1219512195122,431.9268292682927
Copenhagen_Val,SV_Copenhagen_55.6895_12.5847.tif,mediumrise,Augmented_D,0.5682977714190959,0.7247319760007869,0.03804785846788834,665457.9217223723,222.38833175765035,406.1666666666667,433.57142857142856
Copenhagen_Val,SV_Copenhagen_55.6980_12.5617.tif,skyscraper,Baseline_A,0.3336850887280435,0.5003956204478288,0.0992913951869644,138278.7753096011,205.97991859797557,368.4166666666667,348.5
Copenhagen_Val,SV_Copenhagen_55.6980_12.5617.tif,skyscraper,Augmented_D,0.3216976106386757,0.4867945709355164,0.05911976714656874,169675.73620715138,238.33135614418998,408.75,388.5
Copenhagen_Val,SV_Copenhagen_55.6999_12.5841.tif,mediumrise,Baseline_A,0.5497311885998056,0.7094536041395568,0.11358775580670985,106673.08110725801,210.61604575658166,405.94444444444446,389.55555555555554
Copenhagen_Val,SV_Copenhagen_55.6999_12.5841.tif,mediumrise,Augmented_D,0.5478906505683947,0.7079190643954157,0.07976029273556094,123211.35094013863,208.55250911264486,405.94444444444446,389.55555555555554
Copenhagen_Val,SV_Copenhagen_55.6813_12.5366.tif,mediumrise,Baseline_A,0.42353647845709275,0.5950482967828754,0.1410029121235053,1166934.0007071362,228.77271473440263,470.71153846153845,462.7307692307692
Copenhagen_Val,SV_Copenhagen_55.6813_12.5366.tif,mediumrise,Augmented_D,0.4299733846547451,0.6013725699636829,0.0025820333512641203,1283604.0328346102,226.27337054305386,470.71153846153845,462.7307692307692
Copenhagen_Val,SV_Copenhagen_55.6758_12.5461.tif,mediumrise,Baseline_A,0.458142900670323,0.6283923207522528,0.19103402655567753,274773.66933423455,214.752764104846,439.8888888888889,427.962962962963
Copenhagen_Val,SV_Copenhagen_55.6758_12.5461.tif,mediumrise,Augmented_D,0.43453636269002555,0.6058213287465062,0.01781004105561412,521617.4091254288,213.78097537686833,445.8666666666667,435.53333333333336
Copenhagen_Val,SV_Copenhagen_55.6834_12.5888.tif,highrise,Baseline_A,0.6267993243521608,0.7705920637774677,0.15364118002921964,33818.71067202518,207.6327276632166,359.0,370.54545454545456
Copenhagen_Val,SV_Copenhagen_55.6834_12.5888.tif,highrise,Augmented_D,0.6544428329422493,0.791133812436895,0.07660899761464912,509988.3376420747,215.49364000256213,393.93333333333334,404.1333333333333
Copenhagen_Val,SV_Copenhagen_55.6738_12.5564.tif,mediumrise,Baseline_A,0.6517708517797061,0.7891782944074275,0.15908406382138152,55514.7243633863,236.0638327404483,400.29411764705884,401.94117647058823
Copenhagen_Val,SV_Copenhagen_55.6738_12.5564.tif,mediumrise,Augmented_D,0.6427269469246509,0.7825122101124597,0.030630914732648878,69943.14742002603,244.1276447912716,405.22222222222223,406.44444444444446
Copenhagen_Val,SV_Copenhagen_55.7007_12.5572.tif,highrise,Baseline_A,0.27435233697115285,0.4305753267941993,0.09168267063523919,9723.209730081655,205.86034777248565,417.14285714285717,422.35714285714283
Copenhagen_Val,SV_Copenhagen_55.7007_12.5572.tif,highrise,Augmented_D,0.2699541418674993,0.4251399841423013,0.03925940734134002,10558.333335492089,205.41304389156738,417.14285714285717,422.35714285714283
Copenhagen_Val,SV_Copenhagen_55.6951_12.5551.tif,highrise,Baseline_A,0.4036928639063441,0.5751868863718594,0.11351255485968097,56769.06701405771,214.47209327547944,458.8333333333333,398.9166666666667
Copenhagen_Val,SV_Copenhagen_55.6951_12.5551.tif,highrise,Augmented_D,0.3850730083088954,0.5560327953817398,0.0029041466594063,70281.75824717402,214.33038744173933,460.0769230769231,406.0
Copenhagen_Val,SV_Copenhagen_55.6767_12.5880.tif,mediumrise,Baseline_A,0.42654928124355185,0.5980154865336587,0.11162199399437073,2411.145509683038,141.62463488294418,300.55555555555554,200.44444444444446
Copenhagen_Val,SV_Copenhagen_55.6767_12.5880.tif,mediumrise,Augmented_D,0.39626453744895535,0.5676066774179488,0.0249063317070541,98623.66496345913,152.74090132341422,322.9,222.4
Copenhagen_Val,SV_Copenhagen_55.6829_12.5627.tif,highrise,Baseline_A,0.3247805661439634,0.4903160182811281,0.1043863773762343,688588.7056656473,202.80816912035192,449.4,441.35
Copenhagen_Val,SV_Copenhagen_55.6829_12.5627.tif,highrise,Augmented_D,0.3533620250821417,0.5221988182514499,0.086217171178815,766679.1933120048,222.60067466413048,453.90909090909093,446.8181818181818
Copenhagen_Val,SV_Copenhagen_55.6923_12.5870.tif,mediumrise,Baseline_A,0.19638326904793574,0.32829491038304914,0.05667300735069278,20200.013403904395,215.4548427443294,447.2142857142857,422.35714285714283
Copenhagen_Val,SV_Copenhagen_55.6923_12.5870.tif,mediumrise,Augmented_D,0.2111696796823806,0.3487037088606084,0.006579565748660587,21566.48598041133,221.4830111922759,447.2142857142857,422.35714285714283
Copenhagen_Val,SV_Copenhagen_55.6766_12.5831.tif,highrise,Baseline_A,0.39925630734217954,0.5706692980366804,0.0937951121214815,1271248.0786527162,196.45332415954678,342.25,397.875
Copenhagen_Val,SV_Copenhagen_55.6766_12.5831.tif,highrise,Augmented_D,0.3532504859530495,0.5220770132652373,0.10871774520082911,1470665.8937922872,194.63012055688293,342.25,397.875
Copenhagen_Val,SV_Copenhagen_55.6711_12.5634.tif,mediumrise,Baseline_A,0.3029198348735099,0.464986143837342,0.027713780839689534,132456.72067347003,264.6911129546672,439.1666666666667,423.9166666666667
Copenhagen_Val,SV_Copenhagen_55.6711_12.5634.tif,mediumrise,Augmented_D,0.3181196724817451,0.482687086951357,0.0,136508.8644758641,264.55937424410877,439.1666666666667,423.9166666666667
Copenhagen_Val,SV_Copenhagen_55.6867_12.5874.tif,skyscraper,Baseline_A,0.6165150024594196,0.7627705298391084,0.1638771215022202,119976.98961865802,218.71049199235657,390.2105263157895,380.3157894736842
Copenhagen_Val,SV_Copenhagen_55.6867_12.5874.tif,skyscraper,Augmented_D,0.6349618574696272,0.7767298724048954,0.02234658414433695,153303.4253661732,236.30501839925728,414.55,403.1
Copenhagen_Val,SV_Copenhagen_55.6964_12.5500.tif,mediumrise,Baseline_A,0.45949816551717865,0.6296659720080617,0.16172895800210457,437864.6861570732,188.60625234748264,384.8666666666667,362.93333333333334
Copenhagen_Val,SV_Copenhagen_55.6964_12.5500.tif,mediumrise,Augmented_D,0.4268979508559594,0.5983580684237079,0.01418150173508525,513804.70146586583,195.25337867142525,385.75,369.0
Copenhagen_Val,SV_Copenhagen_55.6979_12.5549.tif,mediumrise,Baseline_A,0.45881666598830506,0.6290258079516392,0.121148097965676,409201.3568046811,199.72187489233502,422.77777777777777,406.1666666666667
Copenhagen_Val,SV_Copenhagen_55.6979_12.5549.tif,mediumrise,Augmented_D,0.43953163364578346,0.6106592218923566,0.004873775028865513,494065.3546328556,202.3986917283721,426.4736842105263,411.42105263157896
Copenhagen_Val,SV_Copenhagen_55.6760_12.5513.tif,highrise,Baseline_A,0.4873531300766935,0.6553294173678361,0.15347986626082424,484164.01876775624,202.36155833978964,428.6666666666667,408.04761904761904
Copenhagen_Val,SV_Copenhagen_55.6760_12.5513.tif,highrise,Augmented_D,0.46471984078383344,0.6345511651363201,0.0013328255902513328,881662.7717383262,192.55173145663974,435.7391304347826,416.69565217391306
Copenhagen_Val,SV_Copenhagen_55.6867_12.5824.tif,highrise,Baseline_A,0.5623745756672106,0.7198972441382042,0.18646512852876107,10919.7560143407,204.1376627684906,396.70588235294116,384.47058823529414
Copenhagen_Val,SV_Copenhagen_55.6867_12.5824.tif,highrise,Augmented_D,0.5516226152117485,0.711026779068271,0.00648037136093947,722692.908048349,209.31998013467506,403.0,391.5
Copenhagen_Val,SV_Copenhagen_55.6857_12.5886.tif,skyscraper,Baseline_A,0.5929834054834054,0.7444941402932684,0.15987176806746117,283549.3719506456,216.82975184158275,386.46153846153845,378.84615384615387
