split,tile_id,prediction_id,reference_id,footprint_iou,centroid_error,area_error,model
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,16,0.005193363990547359,170.65252562530475,249211.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,17,0.003225394392284601,268.30301205220866,249704.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,18,0.0037443316088650444,213.39653893905614,249574.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,19,0.003309222711886057,155.44969669201083,249683.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,20,3.991824742926487e-05,151.34007574995326,250502.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,21,0.029435715654339913,85.8092201301025,243138.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,22,0.005859998722616082,234.09612365147288,249044.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,23,0.0054288816503800215,159.04942854043531,249152.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,24,0.00033930510314875135,194.73639035430435,250427.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,25,7.983649485852972e-06,228.08691282253494,250510.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,26,5.189372165804432e-05,148.21202243323904,250499.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,27,3.991824742926486e-06,222.23910433068215,250511.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,28,0.0007704221753848119,169.40749038536902,250319.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,29,0.0011855719486491664,256.7807987635083,250215.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,30,0.014079165868301718,144.75741439447845,246985.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,31,0.0022633646292393177,169.79851533603951,249945.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,32,0.0038840454748674713,243.30171127742292,249539.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,33,2.7942773200485406e-05,245.7822268649494,250505.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,34,0.00027543590726192757,211.5198863634618,250443.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,35,0.034101286923785556,217.72110127423858,241720.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,36,0.019160758766047135,75.79986550157035,245712.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,37,0.0034872122251925148,251.73609615406087,249520.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,38,0.017045091652296097,95.70907089879262,246242.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,39,0.0002554767835472951,244.82335506865977,250448.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,40,0.00817924889825637,238.92578819139894,248463.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,41,0.00687392220731941,190.6494466919142,248790.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,42,0.01296544676502523,216.45425084040218,247264.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,43,0.00013572204125950055,106.65150995068635,250478.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,44,0.004581627196028192,277.85737634936083,249310.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,45,0.00035527240212045733,253.69421715695378,250423.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,46,0.004474835536820591,124.01530603767694,249391.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,47,0.01042082408723,156.5216654471596,247857.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,2,48,0.05157593123209169,5.3723710741210375,662.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,49,0.01850432978171515,200.7863805856303,245797.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,50,6.386919588682378e-05,150.9725862308928,250496.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,51,0.009404739094334803,295.9287474296108,248156.0,Config_D
Copenhagen_Val,SV_Copenhagen_55.6747_12.5414.tif,1,52,0.0014051223095101232,156.1670770597788,250160.0,Config_D
